Mfg.,Part no,Desc,Units,Root chord,Tip chord,Span,Sweep,Thickness,Shape,Tip shape,Material,Npoints,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
Public Missiles,FIN-C-03,Fins,in,9,0.035,6,7.318,0.0938,,square,G10 fiberglass,4,9.|             0.,9.|             4.25,6.|             6.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-C-05,Fins,in,6,2.254,5,2.748,0.0938,,square,G10 fiberglass,4,6.|             0.,5.25|             5.,2.5|             5.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-C-07,Fins,in,10,3.262,6,7.425,0.0938,,square,G10 fiberglass,4,10.|             0.,10.|             3.,8.5|             6.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-C-09,Fins,in,10,0.277,5,8.237,0.0938,,square,G10 fiberglass,4,10.|             0.,9.5|             5.,7.25|             5.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-D-02,Fins,in,8,2.877,8,2.312,0.094,,square,G10 fiberglass,4,8.|             0.,5.5|             8.,2.|             8.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-D-03,Fins,in,12,13.745,8,3.662,0.0938,,square,G10 fiberglass,4,12.|             0.,12.|             6.25,9.25|             8.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-D-05,Fins,in,8,2.877,6.5,3.812,0.0938,,square,G10 fiberglass,4,8.|             0.,7.|             6.5,3.5|             6.5,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-D-07,Fins,in,13.5,4.429,8,10.028,0.0938,,square,G10 fiberglass,4,13.5|             0.,13.5|             4.,11.5|             8.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-D-09,Fins,in,13.5,0.306,6.5,11.347,0.0938,,square,G10 fiberglass,4,13.5|             0.,13.|             6.5,10.|             6.5,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-AUROR,Fins,in,9.25,0.913,5.5,8.16,0.0625,,square,G10 fiberglass,4,9.250000122100001|             0.,9.5000001254|             4.7500000627,7.750000102300001|             5.500000072599999,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-Hydra,Simulated 4 for 2 fins,in,3.875,0.297,2.625,2.227,0.0938,,square,G10 fiberglass,4,3.875|             0.,2.875|             2.625,1.875|             2.625,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-Hydra,4 swept-back fins,in,4.625,1.631,6.25,7.185,0.0938,,square,G10 fiberglass,4,4.625|             0.,9.|             6.25,7.|             6.25,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-Intruder,Simulated 4 for 2 Fins,in,3.125,1.623,2.125,0.689,0.063,,square,G10 fiberglass,4,3.125|             0.,2.375|             2.125,0.625|             2.125,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-SRUSH,SuddenRush Fin,in,8.375,2.354,4.136,6.336,0.0938,,square,G10 fiberglass,4,8.375099809523809|             0.,7.996407238095237|             3.504692571428571,7.123310476190476|             4.135846857142857,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,FS-1,Fin set,mm,82.55,32.39,63.5,47.31,3.175,,rounded,Aircraft plywood (LOC),4,82.55000108966|             0.,82.550001634490002|            63.500001257299999,44.450000880110004|            63.500001257299999,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,FS-100,Fin set,mm,311.15,154.23,88.9,186.55,4.7752,,rounded,Aircraft plywood (LOC),5,311.15001642872039|             0.,339.72501793748046|            28.575001508760039,339.72501793748046|            88.90000469392011,123.82500653796011|            73.025003855720072,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
